Categoría: Todas las categorías

País,Cupcake: (1/1/04 - 26/7/24)
Islas Malvinas (Islas Falkland),
Jersey,
Guernesey,
San Cristóbal y Nieves,
Belice,
Santa Lucía,
Brunéi,
Isla de Man,
Nueva Zelanda,100
Trinidad y Tobago,
Australia,97
Barbados,
Gibraltar,
Bermudas,
Palaos,
Reino Unido,91
Curazao,
Seychelles,
Montserrat,
Islas Vírgenes Británicas,
Bahamas,
Guam,
San Vicente y las Granadinas,
Sudáfrica,79
Singapur,78
Anguila,
Samoa Americana,
Guyana,
Irlanda,75
Islas Marianas del Norte,
Caribe neerlandés,
Estados Unidos,72
Islas Cook,
Islas Caimán,
Surinam,
Namibia,
Antigua y Barbuda,
Puerto Rico,68
Filipinas,68
Canadá,66
Granada,
Aruba,
Malta,
Sint Maarten,
Islas Turcas y Caicos,
Maldivas,
Islas Vírgenes de EE. UU.,
San Pedro y Miquelón,
Botsuana,
Dominica,
Malasia,59
Honduras,
Islas Marshall,
Zimbabue,
Micronesia,
Guatemala,52
Costa Rica,51
Sri Lanka,51
Chile,50
Mauricio,
Samoa,
Perú,49
México,48
Paraguay,
Países Bajos,47
Tonga,
San Martín,
Baréin,
Venezuela,45
Esuatini,
Bélgica,44
Polinesia Francesa,
Brasil,43
Polonia,42
Panamá,
El Salvador,
Emiratos Árabes Unidos,42
Fiyi,
Ecuador,42
Argentina,41
Uruguay,40
Islas Aland,
Martinica,
Reunión,
Malaui,
Libia,
Noruega,38
Catar,
Nueva Caledonia,
Líbano,
Vanuatu,
Chipre,
Islandia,
Suiza,34
Bolivia,34
Israel,34
Islas Feroe,
Chequia,33
Jamaica,
Guadalupe,
Zambia,
Colombia,33
Mónaco,
Guayana Francesa,
Suecia,32
Omán,
Dinamarca,31
Groenlandia,
Kuwait,
Islas Salomón,
Mozambique,
Papúa Nueva Guinea,
Irán,29
Cabo Verde,
Luxemburgo,
San Bartolomé,
Arabia Saudí,28
Lesoto,
Santa Elena,
Liechtenstein,
Francia,27
Hong Kong,27
España,24
Grecia,24
Andorra,
Nicaragua,
Svalbard y Jan Mayen,
Austria,23
República Dominicana,
Tailandia,22
Egipto,22
Jordania,
Portugal,21
Macao,
Finlandia,21
Bután,
Indonesia,19
Santo Tomé y Príncipe,
Alemania,18
Pakistán,18
San Marino,
Italia,17
Madagascar,
Eslovaquia,
Cuba,
Rusia,16
Angola,
Mayotte,
Palestina,
Lituania,
Nigeria,14
Kenia,
Turquía,14
Ghana,
Gambia,
Macedonia del Norte,
Timor-Leste,
Taiwán,13
Ucrania,13
Túnez,
Guinea Ecuatorial,
Mongolia,
Eslovenia,
Turkmenistán,
Letonia,
Uganda,
Eritrea,
Sudán,
Bielorrusia,
Marruecos,
Japón,11
Sierra Leona,
Kazajistán,
Siria,
Gabón,
Laos,
Camboya,
Haití,
Estonia,
Comoras,
Argelia,
Irak,
Yemen,
Hungría,
Serbia,
Camerún,
Albania,
Croacia,
Vietnam,8
Myanmar (Birmania),
Azerbaiyán,
Togo,
Kirguistán,
Corea del Sur,8
Yibuti,
India,7
Tanzania,
Kosovo,
Rumanía,
Senegal,
Congo,
Níger,
Liberia,
Armenia,
Ruanda,
Montenegro,
Benín,
Moldavia,
Georgia,
Etiopía,
Côte d’Ivoire,
Nepal,
Mauritania,
Bangladés,
Afganistán,
Bulgaria,
Sáhara Occidental,
Bosnia y Herzegovina,
Tayikistán,
Guinea-Bisáu,
Burundi,
Somalia,
Uzbekistán,
Burkina Faso,
República Democrática del Congo,
República Centroafricana,
Mali,
Chad,
Guinea,
Sudán del Sur,
China,
Isla de Navidad,
Islas menores alejadas de EE. UU.,
Tuvalu,
Islas Pitcairn,
Kiribati,
Ciudad del Vaticano,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Isla Norfolk,
Territorios Australes Franceses,
Islas Georgia del Sur y Sandwich del Sur,
Antártida,
Wallis y Futuna,
Corea del Norte,
Tokelau,
Isla Bouvet,
Nauru,
Islas Cocos,
Niue,
